creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
José Lazcarro Toquero,Mexico,Academy of San Carlos,,Heroica Puebla de Zaragoza,,,male,,,,,,,MAC,MAC,,,,,,,,,19.039394864,-98.203137452,100.0,,,
Jose Luis Cuevas,Mexico,"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda",,Mexico City,,Mexico City,male,,,Estudos interrompidos por doença; data exata da segunda instituição não foi localizada nesta passada.,,,,MAC; outros,MAC; outros,"Cidade do México, México; Cidade do México, México","Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""; Institución de Enseñanza Universitaria",c. 1944–1946; s.d.,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas ; https://www.annexgalleries.com/artists/biography/482,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas ; https://www.annexgalleries.com/artists/biography/482,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas,media,MAC USP,19.430457906,-99.141684761,100.0,19.430457906,-99.141684761,100.0
José Martín Sulaiman,Mexico,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Mauro de Vasconcelos,Brazil,,,Rio de Janeiro,,São Paulo,male,,,A fonte não nomeia a faculdade de medicina nem a instituição espanhola; deixado como descrição verificável.,,,,MAC; outros,MAC; outros,Natal (RN); Espanha,Faculdade de Medicina da capital potiguar; bolsa de estudos na Espanha (instituição não identificada na fonte),sem data precisa; permanência de cerca de 1 semana na Espanha,https://pt.wikipedia.org/wiki/Jos%C3%A9_Mauro_de_Vasconcelos | https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334,https://pt.wikipedia.org/wiki/Jos%C3%A9_Mauro_de_Vasconcelos | https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334,https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334,baixa,MAC USP,-22.9014475,-43.1789159,100.0,-23.5486657,-46.6382522,100.0
José Pancetti,Brazil,,,Campinas,,Rio de Janeiro,male,,,Aprendizado inicial autodidata; em 1933 ingressa no Núcleo Bernardelli e recebe orientação de Bruno Lechowski.,,,,MAC; outros,MAC; outros,"Rio de Janeiro, Brasil",Núcleo Bernardelli,1933,Itaú Cultural; MAM Rio,Itaú Cultural; MAM Rio,Itaú Cultural,alta,MAC USP,-22.9073702,-47.0628996,100.0,-22.9014475,-43.1789159,100.0
Josepe Pedrepeee Castillolo,Uruguay,,,Montevideo,,,male,,,,,,,MAC; outros,MAC; outros,,,,,,,,,-34.9055557,-56.1852505,100.0,,,
José Peretto,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Resende,Brazil,,,São Paulo,,,male,,,,,,,MAC,MAC,,,,,,,,,-23.5486657,-46.6382522,100.0,,,
José Roberto Aguilar,Brazil,,,São Paulo,,,male,,,artista autodidata; sem escola formal localizada,,,,MAC; outros,MAC; outros,"São Paulo, Brasil",,,https://enciclopedia.itaucultural.org.br/pessoas/1119-jose-roberto-aguilar,,,alta,MAC USP,-23.5486657,-46.6382522,100.0,,,
José Rodrigues,Kingdom of Portugal,,,Lisbon,,Lisbon,male,,,instituição identificada em biografias sumárias,,,,MAC; outros,MAC; outros,"Porto, Portugal",Escola Superior de Belas-Artes do Porto,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,media,Museu Paulista,38.7070085,-9.1356407,100.0,38.7070085,-9.1356407,100.0
