creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
Francisco Pedro do Amaral,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male,,,,,,,outros,outros,Rio de Janeiro,"estudos com José Leandro de Carvalho e Manuel Dias de Oliveira, o Brasiliense; aula régia de desenho e pintura; primeiros alunos de Debret",1820; 1823,https://pt.wikipedia.org/wiki/Francisco_Pedro_do_Amaral | https://www.guiadasartes.com.br/francisco-pedro-do-amaral/biografia | https://enciclopedia.itaucultural.org.br/pessoas/6869-francisco-pedro-do-amaral,https://pt.wikipedia.org/wiki/Francisco_Pedro_do_Amaral | https://www.guiadasartes.com.br/francisco-pedro-do-amaral/biografia | https://enciclopedia.itaucultural.org.br/pessoas/6869-francisco-pedro-do-amaral,https://www.guiadasartes.com.br/francisco-pedro-do-amaral/biografia,alta,Museu Histórico Nacional,-22.9014475,-43.1789159,100.0,-22.9014475,-43.1789159,100.0
Francisco Terêncio Vieira de Campos,,,,,,,male,,,"Registro conservador, sem datas precisas localizadas nesta rodada.",,,,outros,outros,Rio de Janeiro,Escola Nacional de Belas Artes (Enba),,https://enciclopedia.itaucultural.org.br/,https://enciclopedia.itaucultural.org.br/,,baixa,Museu Histórico Nacional,,,,,,
Francisco Viriato de Freitas,,,,,,,,,,formação não localizada com segurança,,,,outros,outros,,,,,,,,Museu da Inconfidência,,,,,,
Francisco Xavier Carneiro,Brazil,,,,,,male,,,não localizei escola formal; formação colonial/oficinal,,,,outros,outros,"Minas Gerais, Brasil",,século XVIII,fontes biográficas de referência,,fontes biográficas de referência,baixa,Museu da Inconfidência,,,,,,
Franco Sá Boris,,,,,,,male,,,Registro institucional prudente.,,,,outros,outros,Belo Horizonte,Escola Guignard,,https://enciclopedia.itaucultural.org.br/,https://enciclopedia.itaucultural.org.br/,,baixa,Museu Paulista,,,,,,
Franco Sá Luís,,,,,,,male,,,Registro institucional prudente.,,,,outros,outros,Belo Horizonte,Escola Guignard,,https://enciclopedia.itaucultural.org.br/,https://enciclopedia.itaucultural.org.br/,,baixa,Museu Paulista,,,,,,
François Clouet,France,,,Tours,,Paris,male,,,A fonte informa treinamento com o pai; não há instituição formal nomeada.,,,,outros,outros,França,Formação com Jean Clouet (pai) / ateliê de Jean Clouet,até c. 1540,https://www.museothyssen.org/en/collection/artists/clouet-francois | https://en.wikipedia.org/wiki/Fran%C3%A7ois_Clouet,https://www.museothyssen.org/en/collection/artists/clouet-francois | https://en.wikipedia.org/wiki/Fran%C3%A7ois_Clouet,https://www.museothyssen.org/en/collection/artists/clouet-francois,media,MASP,47.390847918,0.689480032,100.0,48.856372814,2.352529617,100.0
François-René Moreaux,France,,,Rocroi,,Rio de Janeiro,male,,,"Mantida formulação por mestres, sem instituição formal nomeada.",,,,outros,outros,França,estudos com Jean-Baptiste Couvelet e Antoine-Jean Gros (Barão Gros),antes de 1838,https://pt.wikipedia.org/wiki/Fran%C3%A7ois-Ren%C3%A9_Moreaux | https://enciclopedia.itaucultural.org.br/pessoas/6880-francois-rene-moreaux | https://www.sabercultural.com.br/template/ArteBrasilEspeciais/Moreaux-Francois-Rene.html,https://pt.wikipedia.org/wiki/Fran%C3%A7ois-Ren%C3%A9_Moreaux | https://enciclopedia.itaucultural.org.br/pessoas/6880-francois-rene-moreaux | https://www.sabercultural.com.br/template/ArteBrasilEspeciais/Moreaux-Francois-Rene.html,https://pt.wikipedia.org/wiki/Fran%C3%A7ois-Ren%C3%A9_Moreaux,alta,Museu Nacional de Belas Artes,49.925149573,4.519878794,100.0,-22.9014475,-43.1789159,100.0
François-Auguste Biard,France,École nationale supérieure des beaux-arts de Lyon,,Lyon,,Fontainebleau,male,,,estuda com Pierre-Henri Révoil,,,,outros,outros,"Lyon, França",École des Beaux-Arts de Lyon,s.d.,https://enciclopedia.itaucultural.org.br/pessoas/6639-francois-auguste-biard,https://enciclopedia.itaucultural.org.br/pessoas/6639-francois-auguste-biard,https://enciclopedia.itaucultural.org.br/pessoas/6639-francois-auguste-biard,alta,Pinacoteca de São Paulo,45.767634724,4.835037488,100.0,48.404740851,2.701648778,100.0
François-Hubert Drouais,France,,,Paris,,Paris,male,,,Sem cronologia consolidada nas fontes consultadas.,,,,outros,outros,Paris,"formação com o pai Hubert Drouais; estudos com Donat Nonotte, Charles-André van Loo e François Boucher",,https://en.wikipedia.org/wiki/Fran%C3%A7ois-Hubert_Drouais,https://en.wikipedia.org/wiki/Fran%C3%A7ois-Hubert_Drouais,,media,MASP,48.856372814,2.352529617,100.0,48.856372814,2.352529617,100.0
Frans Hals,Dutch Republic,,Dutch,Antwerp,Grote Kerk,Haarlem,male,,,O vínculo com Karel van Mander aparece em fontes secundárias; mantida confiança média.,,,,outros,outros,Haarlem,estudos com Karel van Mander,antes de 1610; sem data exata na fonte,https://en.wikipedia.org/wiki/Frans_Hals | https://www.portalartes.com.br/hist%C3%B3ria/biografias/pintores-classicos/frans-hals.html,https://en.wikipedia.org/wiki/Frans_Hals | https://www.portalartes.com.br/hist%C3%B3ria/biografias/pintores-classicos/frans-hals.html,,media,MASP,51.25942418,4.371799938,100.0,52.381044553,4.642828229,100.0
Frans Post,Dutch Republic,,,Haarlem,Grote Kerk,Haarlem,male,,,As fontes não sustentam academia formal identificável.,,,,outros,outros,Haarlem,formação com o pai Jan Janszoon Post; provável contato com Frans Hals,,https://en.wikipedia.org/wiki/Frans_Post | https://www.britannica.com/biography/Frans-Post,https://en.wikipedia.org/wiki/Frans_Post | https://www.britannica.com/biography/Frans-Post,,baixa,MASP,52.381044553,4.642828229,100.0,52.381044553,4.642828229,100.0
Franz Josef Frühbeck,Germany,,,Vienna,,Krieglach,male,,,Registro conservador com base em fonte aberta estruturada; cronologia não localizada nesta rodada.,,,,outros,outros,Viena,Akademie der bildenden Künste Wien,,https://www.wikidata.org/wiki/Q20956326,https://www.wikidata.org/wiki/Q20956326,,baixa,Coleção Brasiliana Itaú,48.2092062,16.3727778,100.0,47.545007,15.561329,100.0
Franz Keller-Leuzinger,German Empire,,,Mannheim,,Munich,male,,,A referência biográfica registra a mudança da família para Karlsruhe e o estudo posterior no liceu e na escola politécnica.,,,,outros,outros,Karlsruhe,Lyceum de Karlsruhe; Polytechnische Schule de Karlsruhe,a partir de 1841; sem data final exata,https://www.deutsche-biographie.de/116125632.html?language=en,https://www.deutsche-biographie.de/116125632.html?language=en,https://www.deutsche-biographie.de/116125632.html?language=en,alta,Coleção Brasiliana Itaú,49.487779999,8.466275001,100.0,48.143438999,11.573599,100.0
Frei Nazareno Confaloni,,,,,,,,,,"Fonte localizada menciona mestres e cidade, mas não uma instituição formal nem datas precisas.",,,,outros,outros,"Florença, Itália","estudo com Felice Carena, Maria Bacci e Primo Conti",s.d.,https://www.guiadasartes.com.br/nazareno-confaloni/biografia,https://www.guiadasartes.com.br/nazareno-confaloni/biografia,,baixa,Museu de Arte Sacra da Boa Morte,,,,,,
Friderico Pusthow G.,,,,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,,,,outros,outros,,,,,,,,Museu da Inconfidência,,,,,,
Friedrich Dürck,Kingdom of Saxony,,,Leipzig,,Munich,male,,,A formação posterior em Munique ocorreu sob direção e apoio do tio Joseph Stieler.,,,,outros,outros,Leipzig; Munique,Leipzig Art Academy; Munich Academy,1822 em diante; ingresso na academia de Munique dois anos depois,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrck,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrck,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrck,alta,Pinacoteca de São Paulo,51.338287999,12.377931001,100.0,48.143438999,11.573599,100.0
Friedrich Hagedorn,Brazil,"Academy of Fine Arts, Munich",,Szczecin,,Rio de Janeiro,male,,,"A página recuperada informa a alma mater, mas não traz cronologia detalhada.",,,,outros,outros,Munique,Academia de Belas Artes de Munique,,https://pt.wikipedia.org/wiki/Friedrich_Hagedorn,https://pt.wikipedia.org/wiki/Friedrich_Hagedorn,,media,Pinacoteca de São Paulo,53.425109842,14.550810974,100.0,-22.9014475,-43.1789159,100.0
Friedrich Salathé,Switzerland,,,Binningen,,Paris,male,,,A fonte aberta não detalha com precisão instituições formais específicas.,,,,outros,outros,Suíça; Paris,formação em gravura suíça; aperfeiçoamento em Paris,,https://de.wikipedia.org/wiki/Friedrich_Salath%C3%A9,https://de.wikipedia.org/wiki/Friedrich_Salath%C3%A9,,media,Coleção Brasiliana Itaú,47.537550642,7.568164589,100.0,48.856372814,2.352529617,100.0
Giuseppe Bruschetti,Kingdom of Italy,,,Milan,,Milan,male,,,assinatura abreviada; não foi possível desambiguar com segurança,,,,outros,outros,,,,,,,,Museu Casa de Benjamin Constant,45.4636183,9.1881156,100.0,45.4636183,9.1881156,100.0
G. KENT,,,,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,,,,outros,outros,,,,,,,,Museu Casa da Hera,,,,,,
G. Le Barbier,,,,,,,male,,,assinatura abreviada; não foi possível desambiguar com segurança,,,,outros,outros,,,,,,,,Pinacoteca de São Paulo,,,,,,
G. Rovello,,,,,,,,,,,,,,outros,outros,,,,,,,,Museu Histórico Nacional,,,,,,
Gabriel Duperré,,,,,,,male,,,A identificação formativa foi mantida de forma prudente por escassez de cronologia aberta.,,,,outros,outros,Paris,École des Beaux-Arts de Paris,,https://data.bnf.fr/fr/14968232/gabriel_duperre/,https://data.bnf.fr/fr/14968232/gabriel_duperre/,,media,Pinacoteca de São Paulo,,,,,,
Gaspar Falco,France,,,Mostaganem,,,male,,,Dados abertos insuficientes para nomear escola.,,,,outros,outros,Itália,formação italiana; instituição não identificada na fonte aberta consultada,,https://www.catalogodasartes.com.br/,,,baixa,Museu Paulista,35.93115,0.08918,100.0,,,
Genesco Murta,Brazil,,,Minas Novas,,Belo Horizonte,male,,,,,,,outros,outros,Paris,"Académie de la Grande Chaumière; Académie Colarossi; estudos com Mauricet, Reynold, Charles Guérin e Bernard Naudin",1912-1915,https://pt.wikipedia.org/wiki/Genesco_Murta | https://www.catalogodasartes.com.br/artista/Genesco%20Murta%20-%20Genesco%20Lages%20Murta%20/,https://www.catalogodasartes.com.br/artista/Genesco%20Murta%20-%20Genesco%20Lages%20Murta%20/ | https://www.escritoriodearte.com/artista/genesco-murta,https://pt.wikipedia.org/wiki/Genesco_Murta | https://www.catalogodasartes.com.br/artista/Genesco%20Murta%20-%20Genesco%20Lages%20Murta%20/,alta,Museu Histórico Nacional,-17.2173033,-42.5944656,100.0,-19.9181771,-43.9370534,100.0
Georg Grimm,Kingdom of Bavaria,"Academy of Fine Arts, Munich",,Immenstadt im Allgäu,,Palermo,male,,,A fonte consultada também menciona viagens de estudo posteriores.,,,,outros,outros,"Munique, Alemanha",Academia de Belas Artes de Munique,1868–1870,https://pt.wikipedia.org/wiki/Georg_Grimm,https://pt.wikipedia.org/wiki/Georg_Grimm,https://pt.wikipedia.org/wiki/Georg_Grimm,media,Museu da Inconfidência,47.55996,10.21394,100.0,38.115664,13.3614707,100.0
Georges Capgras,France,,,Joinville-le-Pont,,Paris,male,,,"A fonte aberta identifica o autor, mas não detalha escola formal.",,,,outros,outros,França,formação artística francesa; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/autores/19923/georges-capgras,https://www.brasilianaiconografica.art.br/autores/19923/georges-capgras,,baixa,Pinacoteca de São Paulo,48.81842918,2.466886376,100.0,48.856372814,2.352529617,100.0
Georges Corbisier,Brazil,,,Courbevoie,,,male,,,Fonte aberta insuficiente para nomear escola formal.,,,,outros,outros,Bélgica,formação artística belga; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/,,,baixa,Museu Paulista,48.89539808,2.254992139,100.0,,,
Georgina de Albuquerque,Brazil,Académie Julian,,Taubaté,,Rio de Janeiro,female,,,,,,,outros,outros,"Rio de Janeiro, Brasil; Paris, França; Paris, França",Escola Nacional de Belas Artes; École Nationale Supérieure des Beaux-Arts; Académie Julian,1904–1906; c. 1906–1907; c. 1906–1907,https://pt.wikipedia.org/wiki/Georgina_de_Albuquerque,https://pt.wikipedia.org/wiki/Georgina_de_Albuquerque,https://pt.wikipedia.org/wiki/Georgina_de_Albuquerque,alta,Museu Histórico Nacional,-23.030587,-45.5486046,100.0,-22.9014475,-43.1789159,100.0
Germano Wahnschaffe,,,,Germany,,,male,,,A fonte aberta biográfica enfatiza carreira científica; instituição específica não foi detalhada nesta rodada.,,,,outros,outros,Alemanha,formação alemã em história natural e desenho científico,,https://pt.wikipedia.org/wiki/Germano_Wahnschaffe,https://pt.wikipedia.org/wiki/Germano_Wahnschaffe,,baixa,Coleção Brasiliana Itaú,51.110631049,10.392277932,100.0,,,
Gerrit Willem van Blaaderen,Kingdom of the Netherlands,,,Nieuwer-Amstel,,Bergen,male,,,A fonte cita também formação com Hendrik Hulk e W.F.A.I. Vaarzon Morel.,,,,outros,outros,Haarlem,Escola de Arte Aplicada de Haarlem,1894-1895,https://app.fta.art/pt/creator/61218fe1d38742a9f1281c20f82c042bc10d1e5a | https://nl.wikipedia.org/wiki/Gerrit_van_Blaaderen,https://app.fta.art/pt/creator/61218fe1d38742a9f1281c20f82c042bc10d1e5a,https://app.fta.art/pt/creator/61218fe1d38742a9f1281c20f82c042bc10d1e5a,alta,MASP,52.30083,4.86389,100.0,50.452412522,3.971948154,100.0
Gerson Pompeu,Brazil,Escola Nacional de Belas Artes,,Campinas,,Rio de Janeiro,male,,,,,,,outros,outros,Rio de Janeiro; Paris,Escola Nacional de Belas Artes (Enba); Curso Especial de Arquitetura; Académie Julian,a partir de 1924; 1951,https://pt.wikipedia.org/wiki/Gerson_Pompeu | https://www.dezenovevinte.net/bios/bio_gpp.htm,https://pt.wikipedia.org/wiki/Gerson_Pompeu | https://www.dezenovevinte.net/bios/bio_gpp.htm,https://pt.wikipedia.org/wiki/Gerson_Pompeu | https://www.dezenovevinte.net/bios/bio_gpp.htm,alta,Museu Histórico Nacional,-22.9073702,-47.0628996,100.0,-22.9014475,-43.1789159,100.0
Gerson Tavares,,,,,,,male,,,"ingressou no curso de pintura em 1947; depois obteve bolsa para a Europa, mas a instituição europeia não foi identificada",,,,outros,outros,Rio de Janeiro; Europa,Escola Nacional de Belas Artes,1947,Folha dos Lagos,Folha dos Lagos,Folha dos Lagos,media,Museu de Arte Religiosa e Tradicional,,,,,,
Giambattista Pittoni,Republic of Venice,,,Venice,San Giacomo dell'Orio,Venice,male,,,As fontes consultadas descrevem uma formação familiar/atelier.,,,,outros,outros,Veneza,formação com o tio Francesco Pittoni,,https://en.wikipedia.org/wiki/Giambattista_Pittoni | https://www.britannica.com/biography/Giovanni-Battista-Pittoni,https://en.wikipedia.org/wiki/Giambattista_Pittoni | https://www.britannica.com/biography/Giovanni-Battista-Pittoni,,baixa,MASP,45.434608,12.338913,100.0,45.434608,12.338913,100.0
Giampietrino,,,,Lombardy,,,male,,,"A atribuição de mestre é clara, mas a cronologia detalhada é incerta.",,,,outros,outros,Milão,formação na órbita/oficina de Leonardo da Vinci,,https://en.wikipedia.org/wiki/Giampietrino | https://www.britannica.com/biography/Giampietrino,https://en.wikipedia.org/wiki/Giampietrino | https://www.britannica.com/biography/Giampietrino,,baixa,MASP,45.620700797975,9.769063043545,100.0,,,
Gilbert Stuart,United States,,,North Kingstown,Massachusetts,Boston,male,,,,,,,outros,outros,Newport; Escócia; Londres,formação com Cosmo Alexander; estudos com Benjamin West,c.1762-1765; 1775 em diante,https://en.wikipedia.org/wiki/Gilbert_Stuart | https://www.britannica.com/biography/Gilbert-Stuart,https://en.wikipedia.org/wiki/Gilbert_Stuart | https://www.britannica.com/biography/Gilbert-Stuart,https://en.wikipedia.org/wiki/Gilbert_Stuart,media,MASP,41.560378,-71.445041,100.0,42.3589942,-71.0586293,100.0
Giovanni Battista Castagneto,Brazil,,,Genoa,,Rio de Janeiro,male,,,,,,,outros,outros,Gênova,Accademia Ligustica di Belle Arti,,https://pt.wikipedia.org/wiki/Giovanni_Battista_Castagneto | https://enciclopedia.itaucultural.org.br/pessoas/2832-giovanni-battista-castagneto,https://pt.wikipedia.org/wiki/Giovanni_Battista_Castagneto | https://enciclopedia.itaucultural.org.br/pessoas/2832-giovanni-battista-castagneto,,media,Pinacoteca de São Paulo,44.4070624,8.9339889,100.0,-22.9014475,-43.1789159,100.0
Giovanni Bellini,Republic of Venice,,,Venice,Santi Giovanni e Paolo,Venice,male,,,"A formação recuperada é de oficina familiar, sem academia formal identificada.",,,,outros,outros,Veneza,"formação com o pai Jacopo Bellini, em oficina familiar",,https://en.wikipedia.org/wiki/Giovanni_Bellini | https://worldhistoryedu.com/who-was-giovanni-bellini/,https://en.wikipedia.org/wiki/Giovanni_Bellini | https://worldhistoryedu.com/who-was-giovanni-bellini/,,media,MASP,45.434608,12.338913,100.0,45.434608,12.338913,100.0
Giovanni Boldini,Kingdom of Italy,Accademia delle Arti del Disegno,,Ferrara,Certosa of Ferrara,Paris,male,,,,,,,outros,outros,"Florença, Itália",Accademia di Belle Arti,a partir de 1862,https://modjourn.org/biography/boldini-giovanni-1842-1931/,https://modjourn.org/biography/boldini-giovanni-1842-1931/,https://modjourn.org/biography/boldini-giovanni-1842-1931/,alta,MASP,44.8378378,11.6203994,100.0,48.856372814,2.352529617,100.0
Giovanni Sarracino,Italy,,,Torre del Greco,,Brazil,male,,,As fontes consultadas não trazem cronologia detalhada para a etapa italiana.,,,,outros,outros,Itália; São Paulo,estudos de pintura e desenho na Itália; Liceu de Artes e Ofícios,,https://pt.wikipedia.org/wiki/Giovanni_Sarracino | https://8g6grupodeestudos2011.blogspot.com/2011/03/,https://pt.wikipedia.org/wiki/Giovanni_Sarracino | https://8g6grupodeestudos2011.blogspot.com/2011/03/,,media,Museu Paulista,40.7872187,14.3680286,100.0,-10.769946429,-53.073466889,100.0
Giuseppe Amisani,Kingdom of Italy,Brera Academy,,Mede,,Portofino,male,,,A fonte explicita estudos na Brera com Cesare Tallone e Vespasiano Bignami.,,,,outros,outros,Pavia; Milão,instituto técnico de Pavia; Accademia di Brera,fim do séc. XIX; 1908 prêmio acadêmico,https://en.wikipedia.org/wiki/Giuseppe_Amisani,https://en.wikipedia.org/wiki/Giuseppe_Amisani,https://en.wikipedia.org/wiki/Giuseppe_Amisani,media,MASP,45.0989259,8.737037,100.0,44.3039609,9.2077723,100.0
Giuseppe Leone Righini,Brazil,,,Turin,,Belém,male,,,,,,,outros,outros,Turim,Academia de Belas Artes de Turim,,https://pt.wikipedia.org/wiki/Giuseppe_Leone_Righini | https://www.brasilianaiconografica.art.br/autores/22885/leone-righini | https://www.escritoriodearte.com/artista/giuseppe-leone-righini,https://pt.wikipedia.org/wiki/Giuseppe_Leone_Righini | https://www.brasilianaiconografica.art.br/autores/22885/leone-righini | https://www.escritoriodearte.com/artista/giuseppe-leone-righini,,alta,Pinacoteca de São Paulo,45.0683751,7.6830662,100.0,-1.4549817,-48.502273,100.0
Gladis Reveilleau,,,,,,,,,,formada em Artes Plásticas na FAAP; fonte também a descreve como figurinista; datas não localizadas,,,,outros,outros,"São Paulo, SP",Fundação Armando Álvares Penteado (FAAP),,Galeria-Atelier Flory Menezes,Galeria-Atelier Flory Menezes,,media,Museu de Arte Religiosa e Tradicional,,,,,,
Graciliano Vicente Xavier,Brazil,,,São Paulo,,São Paulo,male,,,A fonte disponível informa que foi discípulo de Jules Martin no Liceu de Artes e Ofícios de São Paulo e que depois se aperfeiçoou com Almeida Júnior.,,,,outros,outros,São Paulo,Liceu de Artes e Ofícios de São Paulo; aperfeiçoamento com Almeida Júnior,sem datas exatas na fonte,https://pt.wikipedia.org/wiki/Graciliano_Vicente_Xavier,https://pt.wikipedia.org/wiki/Graciliano_Vicente_Xavier,https://pt.wikipedia.org/wiki/Graciliano_Vicente_Xavier,alta,Museu Paulista,-23.5486657,-46.6382522,100.0,-23.5486657,-46.6382522,100.0
Gustave Courbet,France,Académie Suisse,French,Ornans,Cimetière Communal d'Ornans,La Tour-de-Peilz,male,,,A trajetória inclui formação independente no Louvre após estudo breve em ateliê.,,,,outros,outros,Besançon; Paris,Collège Royal de Besançon; estudos breves com Charles de Steuben,c.1837-1840,https://www.encyclopedia.com/people/literature-and-arts/european-art-1600-present-biographies/gustave-courbet | https://pt.wikipedia.org/wiki/Gustave_Courbet,https://www.encyclopedia.com/people/literature-and-arts/european-art-1600-present-biographies/gustave-courbet,https://www.encyclopedia.com/people/literature-and-arts/european-art-1600-present-biographies/gustave-courbet,media,MASP,47.105945536,6.147111639,100.0,46.454252892,6.867656059,100.0
Gustave James,,,,,,,male,,,Registro prudente por ausência de instituição específica em fonte aberta.,,,,outros,outros,França,formação artística francesa; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/,,,baixa,Museu Histórico Nacional,,,,,,
Gustavo Dall'Ara,Brazil,,,Rovigo,,,male,,,"Preferida a forma oficial da academia na Itália, com equivalência em português.",,,,outros,outros,Veneza,Accademia di Belle Arti di Venezia / Academia de Belas Artes de Veneza,1881-1883,https://enciclopedia.itaucultural.org.br/pessoas/7053-gustavo-dall-ara | https://pt.wikipedia.org/wiki/Gustavo_Dall%27Ara,https://enciclopedia.itaucultural.org.br/pessoas/7053-gustavo-dall-ara | https://pt.wikipedia.org/wiki/Gustavo_Dall%27Ara,https://enciclopedia.itaucultural.org.br/pessoas/7053-gustavo-dall-ara | https://pt.wikipedia.org/wiki/Gustavo_Dall%27Ara,alta,Museu Nacional de Belas Artes,45.0707365,11.7897964,100.0,,,
Hans Holbein the Younger,Holy Roman Empire,,Germans,Augsburg,"Church of St Katharine Cree, London",London,male,,,Não foi identificada academia formal; formação registrada como oficina familiar.,,,,outros,outros,Augsburgo; Basileia,"formação com o pai Hans Holbein the Elder, em oficina familiar",,https://en.wikipedia.org/wiki/Hans_Holbein_the_Younger | https://www.britannica.com/biography/Hans-Holbein-the-Younger,https://en.wikipedia.org/wiki/Hans_Holbein_the_Younger | https://www.britannica.com/biography/Hans-Holbein-the-Younger,,media,MASP,48.369695999,10.892578,100.0,51.50740836,-0.127698693,100.0
Hans Memling,Habsburg Netherlands,,,Seligenstadt,Sint-Gilliskerk Brugge,Bruges,male,,,A própria fonte sinaliza incerteza entre Mainz e Colônia; mantida a incerteza.,,,,outros,outros,Mainz ou Colônia; Bruxelas,aprendizagem em Mainz ou Cologne; oficina de Rogier van der Weyden,antes de 1465,https://en.wikipedia.org/wiki/Hans_Memling,https://en.wikipedia.org/wiki/Hans_Memling,https://en.wikipedia.org/wiki/Hans_Memling,media,MASP,50.044319999,8.972602999,100.0,51.266855502,3.220199559,100.0
Hans Nöbauer,Austria,,,Vienna,,Rio de Janeiro,male,,,"A fonte somente explicita que realizou seus estudos em Viena, sem indicar instituição.",,,,outros,outros,Viena,,,https://www.salao31.com.br/hans-nobauer,,,baixa,Museu Histórico Nacional,48.2092062,16.3727778,100.0,-22.9014475,-43.1789159,100.0
Heitor,,,,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,,,,outros,outros,,,,,,,,,,,,,,
Helios Seelinger,Brazil,,,Rio de Janeiro,,,male,,,,,,,outros,outros,Rio de Janeiro; Munique; Paris,Escola Nacional de Belas Artes (Enba); ateliê dos irmãos Bernardelli; Academia Azbe; Academia de Munique; estudos com Jean-Paul Laurens,1891-1896; 1897-1900; depois de 1903 em Paris e Munique,https://pt.wikipedia.org/wiki/Helios_Seelinger | https://www.guiadasartes.com.br/helios-seelinger/quem-foi,https://pt.wikipedia.org/wiki/Helios_Seelinger | https://www.ufrgs.br/acervopbsa/autor_/seelinger-helios/,https://pt.wikipedia.org/wiki/Helios_Seelinger | https://www.guiadasartes.com.br/helios-seelinger/quem-foi,alta,Museu Histórico Nacional,-22.9014475,-43.1789159,100.0,,,
亨利·德·土魯斯-羅特列克,France,Lycée Condorcet,French,Albi,Verdelais,Château Malromé,male,,,,,,,outros,outros,,,,,,,,,43.927312876,2.146357423,100.0,44.604362,-0.183783,100.0
Henri Nicolas Vinet,France,,,Paris,,Niterói,male,,,,,,,outros,outros,Paris,École des Beaux-Arts; ateliê de Paul Delaroche,,https://pt.wikipedia.org/wiki/Henri_Nicolas_Vinet | https://enciclopedia.itaucultural.org.br/pessoas/7152-henri-nicolas-vinet,https://pt.wikipedia.org/wiki/Henri_Nicolas_Vinet | https://enciclopedia.itaucultural.org.br/pessoas/7152-henri-nicolas-vinet,,media,Pinacoteca de São Paulo,48.856372814,2.352529617,100.0,-22.8898227,-43.1220775,100.0
Henrique Bernardelli,Brazil,,,Valparaíso,,Rio de Janeiro,male,,,,,,,outros,outros,"Rio de Janeiro; Roma, Itália",Academia Imperial de Belas Artes; ateliê de Domenico Morelli,desde 1870; 1878–1886,Portal Artes; Guia das Artes,Portal Artes; Guia das Artes,Portal Artes; Guia das Artes,media,Pinacoteca de São Paulo,-33.045557,-71.619421,100.0,-22.9014475,-43.1789159,100.0
Henrique José da Silva,Kingdom of Portugal,,,Lisbon,,,male,,,A formação aberta recuperável associa o pintor à Aula Régia em Lisboa.,,,,outros,outros,Lisboa,Aula Régia de Desenho e Figura,,https://pt.wikipedia.org/wiki/Henrique_Jos%C3%A9_da_Silva,https://pt.wikipedia.org/wiki/Henrique_Jos%C3%A9_da_Silva,,media,Museu Histórico Nacional,38.7070085,-9.1356407,100.0,,,
Henrique Manzo,Brazil,,,São Bernardo do Campo,,São Paulo,male,,,,,,,outros,outros,São Paulo,Liceu de Artes e Ofícios de São Paulo; aluno de Alfredo Norfini,1913-1917,https://pt.wikipedia.org/wiki/Henrique_Manzo | https://enciclopedia.itaucultural.org.br/pessoas/6944-henrique-manzo,https://pt.wikipedia.org/wiki/Henrique_Manzo | https://enciclopedia.itaucultural.org.br/pessoas/6944-henrique-manzo,https://pt.wikipedia.org/wiki/Henrique_Manzo | https://enciclopedia.itaucultural.org.br/pessoas/6944-henrique-manzo,alta,Museu Paulista,-23.694445,-46.565796,100.0,-23.5486657,-46.6382522,100.0
Henrique Pinto,Portugal,,,Cacilhas,,Figueiró dos Vinhos,male,,,"As fontes indicam discipulado com Joaquim Gregório Prieto, Tomás da Anunciação e Simões de Almeida Júnior.",,,,outros,outros,Lisboa,Academia de Lisboa / Academia de Belas-Artes de Lisboa,,https://pt.wikipedia.org/wiki/Henrique_Pinto | https://www.mcafigueirodosvinhos.pt/index.php/o-museu/selecao-de-imagens/13-biografias/47-biografia-de-manuel-henrique-pinto,https://pt.wikipedia.org/wiki/Henrique_Pinto | https://www.mcafigueirodosvinhos.pt/index.php/o-museu/selecao-de-imagens/13-biografias/47-biografia-de-manuel-henrique-pinto,,media,Museu Nacional de Belas Artes,-12.7847239,15.7662442,100.0,39.925211102631,-8.282068285049,100.0
Henry Lieutenant Chamberlain,,,,,,,,,,formação militar anterior à prática artística; não localizei escola de arte formal,,,,outros,outros,"Londres, Reino Unido","Royal Military Academy, Woolwich",até c. 1815,https://en.wikipedia.org/wiki/Henry_Chamberlain_(artist),https://en.wikipedia.org/wiki/Henry_Chamberlain_(artist),https://en.wikipedia.org/wiki/Henry_Chamberlain_(artist),media,Museu da Inconfidência,,,,,,
