educated at,coordinate location
IUAV University of Venice,"45.4331,12.3149"
J. Rosenthal Riga Art School ,
Jagiellonian University,"50.06166666666667,19.933888888888887"
Jan Matejko Academy of Fine Arts in Krakow,"50.066389,19.941667"
Jorge Tadeo Lozano University,"4.606805555555556,-74.06755555555556"
Juilliard School,"40.773871,-73.983178"
Jutland Art Academy,"56.15893889,10.21225278"
Kanagawa Prefectural Shonan High School,"35.344472,139.472278"
Keio University,"35.649166666667,139.74277777778"
Kingston University,"51.4035,-0.3039"
KMD/UiB (University of Bergen); Universidad Nacional de las Artes (UNA); ENERC,
Köln International School of Design,"50.9215,6.96336"
Konstfack,"59.29861111,17.99583333"
Kraków University of Technology,"50.07166667,19.94416667"
Kunstakademie Düsseldorf,"51.23054,6.77365"
Kyoto Institute of Technology,"35.049389,135.781853"
Kyung Hee University,"37.5967,127.052"
L'Atelier de Sèvres ,
La Cambre Art School,
La Poudrière,
Ladislav Sutnar Faculty of Design and Art,"49.7252,13.3483"
"Law School, University of São Paulo","-23.55,-46.63722222"
Le Fresnoy,"50.7001129,3.1547097"
Leiden University,"52.15694444444444,4.485277777777778"
Liceo Artistico Di Porta Romana E S.F.,"43.7599,11.24626"
Liceu de Artes e Ofícios,
London College of Fashion,"51.54161,-0.0129"
London Metropolitan University,"51.551574,-0.110687"
LUCA School of Arts,"50.85843889,4.3683"
Lucerne University of Applied Sciences and Arts,"47.014,8.306"
Lutheran University of Brazil,"-29.8872,-51.1629"
Lycée Condorcet,"48.874803,2.326933"
lycée Georges-Clemenceau,"47.2189,-1.545"
Lycée Louis-le-Grand,"48.848018,2.344176"
Lycée Pierre-Corneille,"49.445311,1.100213"
lycée Pothier,"47.90904,1.909691"
Lycée René Descartes,
Maastricht Academy of Fine Arts,"50.848736111111,5.6830416666667"
Macalester College,"44.93944444444445,-93.1686111111111"
Mackenzie Presbyterian University,"-23.547,-46.652"
Magdalena Abakanowicz University of the Arts Poznań,"52.41,16.9289"
Magdeburg-Stendal University of Applied Sciences,
Manzoni,
Maria Curie-Skłodowska University,"51.2425,22.5405"
Maryland Institute College of Art,"39.3056,-76.6206"
Massachusetts Institute of Technology,"42.359722222222224,-71.09194444444445"
Massana School,"41.380944,2.169583"
Mato Grosso State University,
Memphis College of Art,"35.1459,-89.9937"
Michigan State University,"42.7018637482531,-84.48216117291386"
Middlesex University,"51.5893495,-0.2282466"
Minsk State Fine Art College ,
Moholy-Nagy University of Art and Design,"47.5171,18.9898"
Montefiori Technical School,
Montpellier Fine Arts School,"43.61755318089179,3.8841390694349522"
Montreal Music Conservatory,
Moscow 1905 Academy of Arts,"55.793269,37.62698"
Mozarteum University Salzburg,"47.80388889,13.04341667"
Musashino Art University,"35.72611111,139.4475"
"Museum of Modern Art, Rio de Janeiro","-22.91375,-43.171805555556"
Nagoya City University,"35.139406,136.935203"
Nantes School of Art,"47.206475,-1.560904"
National Academy of Arts,"42.695,23.334166666667"
National and Kapodistrian University of Athens,"37.969166666666666,23.780833333333334"
National Art Schools (Cuba),"23.08805556,-82.44805556"
National Autonomous University of Mexico,"19.328888888889,-99.187222222222"
National College of Art and Design,"53.34277778,-6.27888889"
National Film and Television School,"51.6054,-0.6374"
National Film School in Łódź,"51.757778,19.4725"
National School of Arts and Techniques of theater,"45.7533,4.81142"
National School of Fine Arts,"-22.908798055555554,-43.17573111111111"
National School of Fine Arts Prilidiano Pueyrredon,"-34.59171466023074,-58.39131357322754"
"National Superior Autonomous School of Fine Arts, Lima","-12.04638889,-77.02388889"
National Taiwan University,"25.016,121.536"
National Technical University of Athens,"37.987863888889,23.731613888889"
National Theatre and Film School Tbilisi,
National University of Colombia,"4.6355555555556,-74.082777777778"
National University of Córdoba,"-31.4375,-64.18777778"
National University of La Plata,"-34.91296944,-57.95135556"
